event_id,open_date,event_name,home,away,total_matched,backp1_a,backp1_b,sentiment_score_st_a,sentiment_score_st_b,sentiment_score_lt_a,sentiment_score_lt_b,volume_st_a,volume_st_b,volume_lt_a,volume_lt_b,wgted_players_sentiment_a,wgted_players_sentiment_b,wgted_players_sentiment_st_a,wgted_players_sentiment_st_b,volume_players_a,volume_players_b,volume_players_st_a,volume_players_st_b,volume_players_st_previous_a,volume_players_st_previous_b,date_data,date_sentiment_a,date_sentiment_b,date_odds,final_result
29027104,"2018-12-15 12:30:00","Man City v Everton","Man City",Everton,15639.9,1.22,13.5,73,75,66,68,17340,6921,129674,84705,60,74,51,76,85881,26442,16626,1822,21721,3767,2018-12-14,"2018-12-14 00:00:00","2018-12-14 00:00:00","2018-12-20 23:56:40",1
29027097,"2018-12-10 20:00:00","Everton v Watford",Everton,Watford,47828.91,1.81,5,70,65,70,71,6828,1502,85875,19720,77,92,76,90,25314,7452,1707,3516,2777,2805,2018-12-09,"2018-12-09 00:00:00","2018-12-09 00:00:00","2018-12-16 17:11:40",3
29024762,"2018-12-09 16:00:00","Newcastle v Wolves",Newcastle,Wolves,49413.74,2.98,2.76,58,81,62,68,12554,8581,65921,32952,84,70,76,73,4623,7638,636,3174,514,3523,2018-12-08,"2018-12-08 00:00:00","2018-12-08 00:00:00","2018-12-15 23:56:33",2
29024760,"2018-12-08 19:45:00","Leicester v Tottenham","Leicester City",Tottenham,93171.16,3.95,2.04,63,64,80,66,4468,18408,36051,166328,74,75,71,67,11668,53142,1077,5385,1104,6201,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",2
29024749,"2018-12-08 17:30:00","Chelsea v Man City",Chelsea,"Man City",241521.44,4,1.99,41,65,55,65,38092,17932,203871,146520,74,70,63,71,69820,85871,8094,8823,9080,9091,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",1
29024746,"2018-12-08 15:00:00","Arsenal v Huddersfield",Arsenal,Huddersfield,258623.92,1.28,12.5,63,64,71,69,67246,3910,322541,22477,78,72,72,69,156276,3822,31896,406,33753,385,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",1
29024744,"2018-12-08 15:00:00","Burnley v Brighton",Burnley,Brighton,55768.73,2.92,2.86,63,67,59,64,6778,6743,19316,25566,75,80,71,77,834,6891,95,2048,58,2110,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",1
29024743,"2018-12-08 15:00:00","Cardiff v Southampton",Cardiff,Southampton,51843.25,2.96,2.68,61,70,78,52,2646,9017,16434,51966,81,55,70,70,3704,14052,317,814,363,892,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",1
29024747,"2018-12-08 15:00:00","Man Utd v Fulham","Man Utd",Fulham,135066.95,1.37,9.8,51,68,48,71,81640,3438,534591,32048,64,76,65,71,174186,3220,28283,690,27476,667,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",1
29024745,"2018-12-08 15:00:00","West Ham v C Palace","West Ham","Crystal Palace",58597.34,2.3,3.5,71,42,70,61,7966,7668,39872,31106,57,78,72,63,26151,5853,2592,1302,3260,1570,2018-12-07,"2018-12-07 00:00:00","2018-12-07 00:00:00","2018-12-14 23:59:44",1
